<BEGIN>;;;;;;;;;;;;;;;;;
<Thermal generating units>;;;;;;;;;;;;;;;;;
Plant's Name;Plant's ID;Unit's ID;Minimum power output (MW);Maximum power output (MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Bus;Standard linear generation cost ($/MWh);Constant cost ($);Start-up cost ($);Shut-down cost ($);Minimum reactive generation (MVAr);Maximum reactive generation (MVAr);Maximum apparent power (MVA);Comments
g262;262;262;1.190080919;16.7615869;11.73;11.73;4;4;1320;53.83146435;0;122.954;0;0;0;0;
g263;263;263;2.473921061;16.72720142;11.71;11.71;1;1;1320;66.19145405;0;140.1485;0;0;0;0;
g264;264;264;0.70742034;6.278982664;4.4;4.4;2;2;1320;0;0;6.8305;0;0;0;0;
g265;265;265;0.6;0.6;0.44;0.44;4;4;1323;0.850380863;0;0;0;0;0;0;
g266;266;266;0.6;0.6;0.44;0.44;1;1;1323;15.71798106;0;0;0;0;0;0;
g267;267;267;1.950350114;11.26743542;7.89;7.89;4;4;1325;64.9316176;0;60.1595;0;0;0;0;
g268;268;268;0.309061879;6.496999053;4.55;4.55;2;2;1325;0;0;2.4485;0;0;0;0;
g269;269;269;3.476760031;12.20127866;8.54;8.54;1;1;1333;79.4085654;0;41.0905;0;0;0;0;
g270;270;270;0.176477621;4.71207194;3.3;3.3;4;4;1335;0;0;1.0875;0;0;0;0;
g271;271;271;0.172030156;4.676712802;3.27;3.27;2;2;1335;0;0;1.9105;0;0;0;0;
g272;272;272;3.719024239;69.37108606;48.56;48.56;4;4;1350;23.17868463;0;378.046;0;0;0;0;
g273;273;273;0.161724378;10.56028027;7.39;7.39;1;1;1354;3.251377884;0;6.8525;0;0;0;0;
g274;274;274;0.253114948;10.62071413;7.43;7.43;2;2;1354;9.43618504;0;8.1785;0;0;0;0;
g275;275;275;5.371202457;17.80991632;12.47;12.47;1;1;1364;58.55542385;0;96.2255;0;0;0;0;
g276;276;276;5.689303762;34.03897352;23.83;23.83;2;2;1364;0;0;253.344;0;0;0;0;
g277;277;277;4.297637825;23.58149718;16.51;16.51;2;2;1364;5.900981775;0;189.458;0;0;0;0;
g278;278;278;0;35.39061699;24.77;24.77;1;1;1366;11.32410911;0;4.1685;0;0;0;0;
g279;279;279;1.657331633;12.93892332;9.06;9.06;2;2;1372;25.52533452;0;88.6735;0;0;0;0;
g280;280;280;1.668143381;12.71555092;8.9;8.9;1;1;1372;49.04638086;0;64.0465;0;0;0;0;
g281;281;281;5;48.35755513;33.85;33.85;1;1;1419;5.141757195;0;18.158;0;0;0;0;
g282;282;282;0;48.47990903;33.94;33.94;2;2;1429;0;0;23.526;0;0;0;0;
g283;283;283;0;48.83198585;34.18;34.18;4;4;1429;0;0;35.4145;0;0;0;0;
g284;284;284;5;48.62857869;34.04;34.04;4;4;1442;4.315743076;0;19.1495;0;0;0;0;
g285;285;285;1.811298345;20.85147418;14.6;14.6;2;2;1449;0;0;149.966;0;0;0;0;
g286;286;286;0;35.0762841;24.55;24.55;4;4;1463;8.011445905;0;4.7565;0;0;0;0;
g287;287;287;0;41.68555808;29.18;29.18;1;1;1463;16.26659527;0;4.665;0;0;0;0;
g288;288;288;0;36.98665928;25.89;25.89;4;4;1463;11.40409613;0;4.535;0;0;0;0;
g289;289;289;0;2.559093188;1.79;1.79;4;4;1472;0;0;0;0;0;0;0;
g290;290;290;0.115649061;9.575352593;6.7;6.7;4;4;1473;0;0;1.087;0;0;0;0;
g291;291;291;0.239369435;9.591678018;6.71;6.71;2;2;1483;0;0;5.475;0;0;0;0;
g292;292;292;3.743909431;25.6878779;17.98;17.98;2;2;1504;15.26252945;0;183.3595;0;0;0;0;
g293;293;293;0.340507296;9.856923124;6.9;6.9;1;1;1506;0;0;12.9785;0;0;0;0;
g294;294;294;5.649533207;19.90280349;13.93;13.93;1;1;1506;3.837525564;0;65.362;0;0;0;0;
g295;295;295;77.75189089;232.5057067;162.75;162.75;4;4;1526;145.9748919;0;809.638;0;0;0;0;
g296;296;296;74.69069644;236.1832494;165.33;165.33;2;2;1527;130.005752;0;626.6835;0;0;0;0;
g297;297;297;2.808534084;19.88798051;13.92;13.92;4;4;1559;50.40606925;0;186.9495;0;0;0;0;
g298;298;298;1.510075831;15.59436074;10.92;10.92;1;1;1559;40.90591811;0;170.045;0;0;0;0;
g299;299;299;1;47.28571429;33.1;33.1;4;4;1566;21.80002403;0;4.5335;0;0;0;0;
g300;300;300;1.132058917;11.73523599;8.21;8.21;1;1;1570;38.99343146;0;75.24;0;0;0;0;
g301;301;301;2.257366801;23.94370605;16.76;16.76;4;4;1570;10.95789312;0;197.292;0;0;0;0;
g302;302;302;0.090935395;3.868412979;2.71;2.71;2;2;1571;0;0;0;0;0;0;0;
g303;303;303;2.279911124;11.37501143;7.96;7.96;2;2;1572;44.74526445;0;51.713;0;0;0;0;
g304;304;304;3.807549424;23.74763475;16.62;16.62;2;2;1576;70.78828635;0;159.9915;0;0;0;0;
g305;305;305;2.065253057;13.95481093;9.77;9.77;2;2;1576;23.1212139;0;88.6345;0;0;0;0;
g306;306;306;0.150136703;9.786305153;6.85;6.85;1;1;1590;0;0;6.3545;0;0;0;0;
g307;307;307;5.547121825;27.60612733;19.32;19.32;1;1;1606;0;0;234.099;0;0;0;0;
g308;308;308;1.484846866;22.9273977;16.05;16.05;4;4;1606;0;0;188.791;0;0;0;0;
g309;309;309;0;33.02290991;23.12;23.12;2;2;1612;0;0;28.057;0;0;0;0;
g310;310;310;3.702625957;21.86268641;15.3;15.3;4;4;1626;23.5549552;0;147.403;0;0;0;0;
g311;311;311;0.401336141;9.58268921;6.71;6.71;1;1;1626;0;0;11.662;0;0;0;0;
g312;312;312;3.378236199;75.25418454;52.68;52.68;4;4;1637;0;0;344.5505;0;0;0;0;
g313;313;313;0.7;3.594709961;2.52;2.52;4;4;1650;0.953277203;0;0;0;0;0;0;
g314;314;314;0.012948323;4.907105042;3.43;3.43;4;4;1651;0;0;0.12;0;0;0;0;
g315;315;315;1.188976053;11.75467763;8.23;8.23;4;4;1651;28.81408495;0;65.529;0;0;0;0;
g316;316;316;0;50.98292947;35.69;35.69;4;4;1652;0;0;301.7845;0;0;0;0;
g317;317;317;0;3.941096874;2.76;2.76;2;2;1655;0;0;0;0;0;0;0;
g318;318;318;4.034788808;14.92071044;10.44;10.44;1;1;1666;92.52178885;0;91.411;0;0;0;0;
g319;319;319;0.398919076;9.336366786;6.54;6.54;1;1;1682;0;0;6.4565;0;0;0;0;
g320;320;320;2.838714505;17.33610849;12.14;12.14;1;1;1682;77.9837866;0;154.488;0;0;0;0;
g321;321;321;0.367743154;10.61644153;7.43;7.43;1;1;1691;5.63584146;0;11.241;0;0;0;0;
g322;322;322;0.462253315;10.55593349;7.39;7.39;2;2;1691;3.36811043;0;9.662;0;0;0;0;
g323;323;323;4.567811089;25.24987303;17.67;17.67;4;4;1692;0;0;240.34;0;0;0;0;
g324;324;324;0.124761748;9.911014361;6.94;6.94;4;4;1693;0;0;6.3725;0;0;0;0;
g325;325;325;0.220627977;10.21621284;7.15;7.15;1;1;1693;0;0;10.7825;0;0;0;0;
g326;326;326;1.382523427;11.80531504;8.26;8.26;1;1;1694;31.11388525;0;65.2935;0;0;0;0;
g327;327;327;0.6;3.141945219;2.2;2.2;1;1;1695;0.347037121;0;0;0;0;0;0;
g328;328;328;0.583617204;6.569438905;4.6;4.6;2;2;1700;0;0;6.652;0;0;0;0;
g329;329;329;1.468126349;14.91960921;10.44;10.44;2;2;1704;43.56143444;0;111.359;0;0;0;0;
g330;330;330;3.630061756;14.62122571;10.23;10.23;2;2;1704;90.0923587;0;80.2795;0;0;0;0;
g331;331;331;1.41776077;14.83735273;10.39;10.39;4;4;1704;39.20782427;0;146.666;0;0;0;0;
g332;332;332;3.476705166;29.27558527;20.49;20.49;1;1;1707;0;0;153.9835;0;0;0;0;
g333;333;333;0.696786372;17.69747213;12.39;12.39;2;2;1710;25.41961287;0;122.1925;0;0;0;0;
g334;334;334;0;33.40595655;23.38;23.38;4;4;1711;0;0;205.814;0;0;0;0;
g335;335;335;3.431004089;27.84332249;19.49;19.49;2;2;1713;60.2443312;0;117.554;0;0;0;0;
g336;336;336;0;0.307913356;0.22;0.22;2;2;1724;0;0;0;0;0;0;0;
g337;337;337;0.094572416;4.367855858;3.06;3.06;4;4;1735;0;0;0.8315;0;0;0;0;
g338;338;338;1.374717125;14.18734223;9.93;9.93;4;4;1735;35.07450886;0;123.0795;0;0;0;0;
g339;339;339;0.362505949;3.977305389;2.78;2.78;1;1;1738;0;0;3.5685;0;0;0;0;
g340;340;340;2.905941794;11.9201233;8.34;8.34;4;4;1740;65.9950789;0;58.9265;0;0;0;0;
g341;341;341;3.928756636;26.22862373;18.36;18.36;1;1;1746;37.47848005;0;153.341;0;0;0;0;
g342;342;342;0.38932115;10.86189177;7.6;7.6;4;4;1746;2.780342353;0;7.7265;0;0;0;0;
g343;343;343;0;30.31050973;21.22;21.22;2;2;1753;0;0;218.5035;0;0;0;0;
g344;344;344;0;27.12998197;18.99;18.99;2;2;1754;0;0;118.71;0;0;0;0;
g345;345;345;0;30.56450949;21.4;21.4;1;1;1755;0;0;174.326;0;0;0;0;
g346;346;346;0;3.391371718;2.37;2.37;4;4;1809;0;0;0;0;0;0;0;
g347;347;347;0.283805621;10.20620651;7.14;7.14;2;2;1819;2.880632273;0;7.5245;0;0;0;0;
g348;348;348;0.320678167;9.109225177;6.38;6.38;2;2;1836;0;0;5.0175;0;0;0;0;
g349;349;349;4.64286624;20.89306561;14.63;14.63;1;1;1843;14.58004196;0;107.1265;0;0;0;0;
g350;350;350;2.421466058;15.82577464;11.08;11.08;2;2;1849;75.280561;0;141.8735;0;0;0;0;
g351;351;351;1.484140535;21.16774568;14.82;14.82;1;1;1849;0;0;142.0545;0;0;0;0;
g352;352;352;0.392085015;4.624011589;3.24;3.24;2;2;1859;0;0;3.531;0;0;0;0;
g353;353;353;0;3.628556032;2.54;2.54;2;2;1859;0;0;0;0;0;0;0;
g354;354;354;0.094345973;5.952069837;4.17;4.17;4;4;1867;0;0;0.5895;0;0;0;0;
g355;355;355;0.570987241;5.2568393;3.68;3.68;4;4;1870;0;0;3.953;0;0;0;0;
g356;356;356;0;1.63219114;1.14;1.14;1;1;1870;0;0;0;0;0;0;0;
g357;357;357;3.825945991;23.58177382;16.51;16.51;2;2;1875;12.54605524;0;151.51;0;0;0;0;
g358;358;358;3.154366064;22.77509433;15.94;15.94;4;4;1875;0;0;168.51;0;0;0;0;
g359;359;359;0;35.9951167;25.2;25.2;1;1;1875;0;0;20.602;0;0;0;0;
g360;360;360;0.442507916;9.790547035;6.85;6.85;2;2;1876;0;0;14.6215;0;0;0;0;
g361;361;361;0;36.58839665;25.61;25.61;4;4;1877;0;0;24.538;0;0;0;0;
g362;362;362;0.503391786;5.442371103;3.81;3.81;4;4;1878;0;0;5.631;0;0;0;0;
g363;363;363;0.232640517;8.845968363;6.19;6.19;4;4;1883;0;0;6.7735;0;0;0;0;
g364;364;364;0.526057462;9.351164085;6.55;6.55;1;1;1892;0;0;5.9585;0;0;0;0;
g365;365;365;0.939369313;23.81593951;16.67;16.67;1;1;1900;6.408145075;0;171.1045;0;0;0;0;
g366;366;366;1.100785719;23.48757535;16.44;16.44;1;1;1901;7.236277575;0;202.3895;0;0;0;0;
g367;367;367;2.725473532;23.87530999;16.71;16.71;1;1;1902;21.47053684;0;275.9635;0;0;0;0;
g368;368;368;3.228284457;23.69934606;16.59;16.59;2;2;1903;31.83114768;0;172.566;0;0;0;0;
g369;369;369;0;0;0.03;0.03;4;4;1915;10.80356158;0;0;0;0;0;0;
g370;370;370;0.103291376;2.972228988;2.08;2.08;2;2;1934;0;0;0;0;0;0;0;
g371;371;371;0;31.73329026;22.21;22.21;1;1;1947;0;0;55.5415;0;0;0;0;
g372;372;372;2.506643166;32.07788503;22.45;22.45;4;4;1946;0;0;324.999;0;0;0;0;
g373;373;373;3.042185599;23.44670124;16.41;16.41;2;2;1955;7.06877065;0;80.6635;0;0;0;0;
g374;374;374;0.78577463;5.229309668;3.66;3.66;1;1;1966;0;0;7.2235;0;0;0;0;
g375;375;375;3.85824435;23.63264696;16.54;16.54;1;1;1974;22.08192493;0;183.2985;0;0;0;0;
g376;376;376;2.459504142;23.67013369;16.57;16.57;2;2;1975;48.51753013;0;215.2555;0;0;0;0;
g377;377;377;3.476782299;23.96960612;16.78;16.78;4;4;1976;29.60431585;0;209.2655;0;0;0;0;
g378;378;378;2.289214625;23.85758068;16.7;16.7;2;2;1977;55.47069605;0;149.9195;0;0;0;0;
g379;379;379;3.657521854;23.71320878;16.6;16.6;1;1;1978;38.96515052;0;136.0565;0;0;0;0;
g380;380;380;2.761626767;24.97053001;17.48;17.48;1;1;1987;85.76590195;0;106.533;0;0;0;0;
g381;381;381;3.152798413;22.24110081;15.57;15.57;4;4;1987;59.3302623;0;113.981;0;0;0;0;
g382;382;382;4.175823873;21.45512046;15.02;15.02;4;4;1988;215.5885801;0;103.6035;0;0;0;0;
g383;383;383;6.632328411;27.11446541;18.98;18.98;2;2;1989;139.3895554;0;120.9475;0;0;0;0;
g384;384;384;0.478125147;7.194612072;5.04;5.04;2;2;1991;0;0;6.599;0;0;0;0;
g385;385;385;0.663494065;4.41267314;3.09;3.09;2;2;1993;0;0;2.0995;0;0;0;0;
g386;386;386;0.676357638;4.401712886;3.08;3.08;2;2;1993;0;0;2.362;0;0;0;0;
g387;387;387;0.061857203;3.494533399;2.45;2.45;2;2;1999;0;0;0;0;0;0;0;
g388;388;388;0.37064163;8.163053064;5.71;5.71;2;2;2007;0;0;11.207;0;0;0;0;
g389;389;389;0;44.35714286;31.05;31.05;1;1;2014;20.635;0;4.256;0;0;0;0;
g390;390;390;2.852979294;23.96676792;16.78;16.78;2;2;2025;7.726872475;0;212.9325;0;0;0;0;
g391;391;391;4.519099225;23.83746863;16.69;16.69;1;1;2026;26.21328024;0;234.926;0;0;0;0;
g392;392;392;4.163651259;23.9538882;16.77;16.77;1;1;2026;0;0;170.5755;0;0;0;0;
g393;393;393;2.688723275;11.81337115;8.27;8.27;1;1;2031;56.37222145;0;48.9385;0;0;0;0;
g394;394;394;0;41.40605604;28.98;28.98;2;2;2035;0;0;136.1175;0;0;0;0;
g395;395;395;1.067759946;8.628494989;6.04;6.04;2;2;2043;0;0;6.922;0;0;0;0;
g396;396;396;2.07899631;33.34245522;23.34;23.34;1;1;2057;0;0;359.5395;0;0;0;0;
g397;397;397;0.080753815;11.88252863;8.32;8.32;2;2;2067;15.36833152;0;88.11;0;0;0;0;
g398;398;398;0.405065249;4.506238159;3.15;3.15;2;2;2092;0;0;4.006;0;0;0;0;
g399;399;399;2.533120196;15.8994387;11.13;11.13;2;2;2106;53.18083945;0;140.908;0;0;0;0;
g400;400;400;2.006593561;52.87474593;37.01;37.01;2;2;2107;0;0;284.7705;0;0;0;0;
g401;401;401;0.301076212;15.66947438;10.97;10.97;2;2;2111;12.99770003;0;183.1645;0;0;0;0;
g402;402;402;3.591842119;19.79589807;13.86;13.86;1;1;2131;74.8875403;0;150.0775;0;0;0;0;
g403;403;403;4.258671339;24.95192802;17.47;17.47;2;2;2131;51.1924904;0;128.6055;0;0;0;0;
g404;404;404;0.515425454;9.990971187;6.99;6.99;1;1;2159;0;0;14.0755;0;0;0;0;
g405;405;405;0.171137075;5.703371292;3.99;3.99;2;2;2159;0;0;1.6955;0;0;0;0;
g406;406;406;5.507711469;24.03093508;16.82;16.82;4;4;2169;59.5633377;0;154.319;0;0;0;0;
g407;407;407;0;38.9078386;27.24;27.24;4;4;2173;17.22082897;0;3.8545;0;0;0;0;
g408;408;408;2.17648595;11.98210782;8.39;8.39;1;1;2174;53.5699314;0;85.133;0;0;0;0;
g409;409;409;2.209673235;23.83903477;16.69;16.69;4;4;2190;30.87371206;0;158.9225;0;0;0;0;
g410;410;410;3.778597871;29.38108379;20.57;20.57;1;1;2190;13.42311613;0;160.4095;0;0;0;0;
g411;411;411;0.467836529;8.841153607;6.19;6.19;2;2;2195;0;0;9.31;0;0;0;0;
g412;412;412;1.983432406;11.72372752;8.21;8.21;4;4;2198;37.91646387;0;47.0125;0;0;0;0;
g413;413;413;3.247121397;11.82129203;8.27;8.27;4;4;2198;49.86565239;0;27.112;0;0;0;0;
g414;414;414;41.29740418;46.79855918;32.76;32.76;4;4;2200;165.9447236;0;248.315;0;0;0;0;
g415;415;415;0.054892665;14.8847097;10.42;10.42;1;1;2201;15.69678381;0;154.3405;0;0;0;0;
g416;416;416;4.949110218;19.81578094;13.87;13.87;1;1;2203;0.270696944;0;123.8715;0;0;0;0;
g417;417;417;3.761763504;24.67705525;17.27;17.27;4;4;2234;0;0;133.6295;0;0;0;0;
g418;418;418;4.479029506;25.61714313;17.93;17.93;2;2;2234;51.5162229;0;224.357;0;0;0;0;
g419;419;419;1.225982395;11.88855807;8.32;8.32;2;2;2253;28.78240712;0;64.641;0;0;0;0;
g420;420;420;5.552190456;29.21901366;20.45;20.45;2;2;2253;30.93723724;0;156.318;0;0;0;0;
g421;421;421;3.160125518;23.76915136;16.64;16.64;4;4;2255;62.68608775;0;185.1495;0;0;0;0;
g422;422;422;4.57183481;23.77537531;16.64;16.64;1;1;2255;79.42897875;0;224.7705;0;0;0;0;
g423;423;423;0.106458916;13.4931286;9.45;9.45;2;2;2289;18.65499626;0;86.799;0;0;0;0;
g424;424;424;1.589545978;11.99600439;8.4;8.4;2;2;2299;24.57152409;0;44.7325;0;0;0;0;
g425;425;425;2.000994738;54.53616999;38.18;38.18;1;1;2303;0;0;93.819;0;0;0;0;
g426;426;426;0;120.1783159;84.12;84.12;1;1;2305;0;0;129.1205;0;0;0;0;
g427;427;427;0.109339894;9.628841134;6.74;6.74;1;1;2311;0;0;7.437;0;0;0;0;
g428;428;428;0.192800785;9.844120199;6.89;6.89;2;2;2311;0;0;9.5265;0;0;0;0;
g429;429;429;1.070569168;11.7736019;8.24;8.24;2;2;2337;33.78104793;0;51.831;0;0;0;0;
g430;430;430;2.324900365;11.48265109;8.04;8.04;2;2;2343;48.49326058;0;67.4525;0;0;0;0;
g431;431;431;0;3.559868756;2.49;2.49;1;1;2347;0;0;0;0;0;0;0;
g432;432;432;5.302326527;21.72472912;15.21;15.21;4;4;2349;114.8593525;0;79.0845;0;0;0;0;
g433;433;433;4.550796487;25.10752809;17.58;17.58;2;2;2349;0;0;149.349;0;0;0;0;
g434;434;434;1.725434729;22.59112746;15.81;15.81;2;2;2349;5.674937645;0;199.6365;0;0;0;0;
g435;435;435;0.352167739;9.705095245;6.79;6.79;2;2;2350;0;0;9.6475;0;0;0;0;
g436;436;436;0.273952552;5.946295924;4.16;4.16;2;2;2350;0;0;2.537;0;0;0;0;
g437;437;437;0.904472181;6.177752563;4.32;4.32;2;2;2351;0;0;7.458;0;0;0;0;
g438;438;438;2.964675224;23.86126933;16.7;16.7;1;1;2373;21.24947826;0;169.771;0;0;0;0;
g439;439;439;2.656792738;23.64606011;16.55;16.55;1;1;2374;34.1554613;0;149.6635;0;0;0;0;
g440;440;440;2.253954886;23.89634923;16.73;16.73;4;4;2375;18.14231358;0;286.6105;0;0;0;0;
g441;441;441;2.621262922;23.8789383;16.72;16.72;4;4;2376;57.90935535;0;262.355;0;0;0;0;
g442;442;442;2.317495034;19.75970744;13.83;13.83;2;2;2377;24.98070519;0;167.616;0;0;0;0;
g443;443;443;0.191667426;7.825756886;5.48;5.48;1;1;2387;0;0;9.2905;0;0;0;0;
g444;444;444;2.513121833;11.72215954;8.21;8.21;1;1;2404;69.3402477;0;41.736;0;0;0;0;
g445;445;445;1.067787117;26.92137902;18.84;18.84;1;1;2406;0;0;250.573;0;0;0;0;
g446;446;446;3.888568503;19.18864596;13.43;13.43;2;2;2406;33.93653786;0;134.67;0;0;0;0;
g447;447;447;3.876811605;29.06912788;20.35;20.35;4;4;2422;0;0;184.039;0;0;0;0;
g448;448;448;0.040940163;6.239998504;4.37;4.37;2;2;2424;0;0;0.3655;0;0;0;0;
g449;449;449;2.167119256;18.82718174;13.18;13.18;4;4;2424;22.11974635;0;134.8485;0;0;0;0;
g450;450;450;0.149943916;7.725114433;5.41;5.41;4;4;2431;0;0;8.7535;0;0;0;0;
g451;451;451;1.239088698;15.9850904;11.19;11.19;2;2;2431;28.20732494;0;161.0715;0;0;0;0;
g452;452;452;1.301485607;11.77010625;8.24;8.24;4;4;2431;42.38356997;0;81.0995;0;0;0;0;
g453;453;453;3.683457872;19.47405196;13.63;13.63;4;4;2443;55.07328755;0;153.3545;0;0;0;0;
g454;454;454;3.232742718;22.20304226;15.54;15.54;1;1;2447;9.18362766;0;159.8355;0;0;0;0;
g455;455;455;0;1.45001857;1.02;1.02;4;4;2447;1.53530294;0;0;0;0;0;0;
g456;456;456;2.787038149;17.80653429;12.46;12.46;4;4;2450;52.52568755;0;162.513;0;0;0;0;
g457;457;457;2.602565338;20.64806479;14.45;14.45;2;2;2450;51.6082778;0;183.637;0;0;0;0;
g458;458;458;0.274790039;9.811575648;6.87;6.87;2;2;2455;0;0;3.704;0;0;0;0;
g459;459;459;2.605146066;21.64917914;15.15;15.15;4;4;2454;0;0;184.878;0;0;0;0;
g460;460;460;3.983480939;20.77183419;14.54;14.54;2;2;2471;0;0;195.173;0;0;0;0;
g461;461;461;0.335941019;4.097410804;2.87;2.87;2;2;2472;0;0;3.1915;0;0;0;0;
g462;462;462;0.154013349;4.428418006;3.1;3.1;4;4;2472;0;0;0.808;0;0;0;0;
g463;463;463;1.165032145;20.34039709;14.24;14.24;4;4;2475;28.91256081;0;181.0365;0;0;0;0;
g464;464;464;2.968526731;11.88213125;8.32;8.32;1;1;2486;47.94160735;0;49.52;0;0;0;0;
g465;465;465;2.49459907;25.91370849;18.14;18.14;2;2;2492;7.030674595;0;206.158;0;0;0;0;
g466;466;466;2.488737796;11.66918828;8.17;8.17;4;4;2506;66.30123665;0;40.1575;0;0;0;0;
g467;467;467;44.29282729;48.38747192;33.87;33.87;2;2;2534;160.8300147;0;168.6445;0;0;0;0;
g468;468;468;47.50666288;47.76246632;33.43;33.43;4;4;2534;153.9993747;0;31.425;0;0;0;0;
g469;469;469;2.558509456;19.79987609;13.86;13.86;2;2;2540;0;0;171.4315;0;0;0;0;
g470;470;470;0.732416561;32.33735333;22.64;22.64;2;2;2540;0;0;303.604;0;0;0;0;
g471;471;471;3.134510881;12.49518177;8.75;8.75;1;1;2541;87.90771055;0;79.1255;0;0;0;0;
g472;472;472;0.860077332;14.97319715;10.48;10.48;2;2;2541;16.98867895;0;159.7795;0;0;0;0;
g473;473;473;0.494377333;9.204985436;6.44;6.44;1;1;2543;0;0;9.054;0;0;0;0;
g474;474;474;0.954452488;4.616968389;3.23;3.23;1;1;2556;0;0;7.166;0;0;0;0;
g475;475;475;2.37066556;15.8372288;11.09;11.09;1;1;2558;73.36013475;0;128.974;0;0;0;0;
g476;476;476;2.687597881;18.80970221;13.17;13.17;4;4;2566;0;0;165.053;0;0;0;0;
g477;477;477;4.944643497;28.98918904;20.29;20.29;2;2;2566;0;0;213.785;0;0;0;0;
g478;478;478;0.403775236;15.74518875;11.02;11.02;4;4;2569;4.739078007;0;143.94;0;0;0;0;
g479;479;479;1.821980026;16.68329143;11.68;11.68;4;4;2574;53.492252;0;191.632;0;0;0;0;
g480;480;480;2.246181666;16.52338815;11.57;11.57;1;1;2587;54.0152083;0;163.8335;0;0;0;0;
g481;481;481;1.608836188;13.49874207;9.45;9.45;1;1;2587;47.89171885;0;123.029;0;0;0;0;
g482;482;482;1.265753763;11.23034955;7.86;7.86;4;4;2592;38.94218468;0;36.7525;0;0;0;0;
g483;483;483;3.073051331;11.82901527;8.28;8.28;2;2;2597;46.44200712;0;53.841;0;0;0;0;
g484;484;484;3.037910746;20.49915947;14.35;14.35;1;1;2597;60.802536;0;155.0355;0;0;0;0;
g485;485;485;0.385291498;4.136869662;2.9;2.9;2;2;2603;0;0;3.97;0;0;0;0;
g486;486;486;0.370149195;11.87163346;8.31;8.31;1;1;2612;23.73377293;0;78.3345;0;0;0;0;
g487;487;487;0.613962516;8.971247535;6.28;6.28;1;1;2612;0;0;8.9495;0;0;0;0;
g488;488;488;3.208598573;21.64026542;15.15;15.15;1;1;2621;58.34570265;0;207;0;0;0;0;
g489;489;489;0.589657139;8.678927329;6.08;6.08;1;1;2622;0;0;10.945;0;0;0;0;
g490;490;490;0.036810061;10.90954437;7.64;7.64;1;1;2627;14.73767926;0;71.667;0;0;0;0;
g491;491;491;0.397255362;30.48177331;21.34;21.34;4;4;2635;0;0;245.134;0;0;0;0;
g492;492;492;0.886247954;11.73623533;8.22;8.22;1;1;2635;9.79879687;0;64.238;0;0;0;0;
g493;493;493;4.304007997;27.85950703;19.5;19.5;2;2;2638;0;0;261.7;0;0;0;0;
g494;494;494;0.049704305;4.615632788;3.23;3.23;4;4;2651;0;0;0.5345;0;0;0;0;
g495;495;495;0.204239468;5.287704791;3.7;3.7;1;1;2651;0;0;1.779;0;0;0;0;
g496;496;496;0.551186951;4.478985561;3.14;3.14;4;4;2651;0;0;5.1465;0;0;0;0;
g497;497;497;0;2.047537253;1.43;1.43;4;4;2654;0;0;0;0;0;0;0;
g498;498;498;1.673548284;17.95937562;12.57;12.57;2;2;2655;25.32801265;0;168.4715;0;0;0;0;
g499;499;499;1.404641302;21.59254376;15.11;15.11;4;4;2656;8.545482825;0;195.019;0;0;0;0;
g500;500;500;3.530960053;21.9570702;15.37;15.37;4;4;2656;58.81838075;0;246.5575;0;0;0;0;
g501;501;501;3.48884811;27.83350204;19.48;19.48;4;4;2656;40.29363786;0;206.789;0;0;0;0;
g502;502;502;0;0.623540401;0.44;0.44;2;2;2657;8.63666471;0;0;0;0;0;0;
g503;503;503;0.05406567;9.79094482;6.85;6.85;2;2;2657;0;0;7.092;0;0;0;0;
g504;504;504;0.766184413;8.440541484;5.91;5.91;2;2;2657;0;0;7.7585;0;0;0;0;
g505;505;505;1.670754456;28.90527126;20.23;20.23;4;4;2660;0;0;257.117;0;0;0;0;
g506;506;506;2.085970468;23.59237312;16.51;16.51;4;4;2660;32.42418714;0;177.714;0;0;0;0;
g507;507;507;3.919351565;18.74512493;13.12;13.12;4;4;2663;0;0;146.1755;0;0;0;0;
g508;508;508;0;2.26206977;1.58;1.58;4;4;2670;0;0;0;0;0;0;0;
g509;509;509;0.779039141;9.299468197;6.51;6.51;4;4;2670;0;0;15.348;0;0;0;0;
g510;510;510;3.565235372;31.97111833;22.38;22.38;4;4;2671;0;0;316.639;0;0;0;0;
g511;511;511;0.930814216;22.38315117;15.67;15.67;4;4;2671;0;0;223.6215;0;0;0;0;
g512;512;512;0.303428085;10.52001904;7.36;7.36;2;2;2673;4.952483504;0;7.3065;0;0;0;0;
g513;513;513;0.423770816;6.232042259;4.36;4.36;1;1;2674;0;0;3.509;0;0;0;0;
g514;514;514;0.146787973;2.985396797;2.09;2.09;2;2;2673;0;0;0;0;0;0;0;
g515;515;515;0.03417354;3.96535455;2.78;2.78;2;2;2674;0;0;0;0;0;0;0;
g516;516;516;3.352297778;11.74481543;8.22;8.22;2;2;2675;65.64703865;0;27.9415;0;0;0;0;
g517;517;517;0;40.37682876;28.26;28.26;4;4;2679;6.96717438;0;6.8635;0;0;0;0;
g518;518;518;0;41.67012719;29.17;29.17;1;1;2679;8.11660156;0;6.995;0;0;0;0;
g519;519;519;0;38.09903631;26.67;26.67;4;4;2679;12.7441703;0;4.5325;0;0;0;0;
g520;520;520;0;36.67137688;25.67;25.67;2;2;2679;1.017663141;0;7.577;0;0;0;0;
g521;521;521;0;39.77360956;27.84;27.84;2;2;2679;12.25059014;0;5.0765;0;0;0;0;
